"ID","Y","Lon","Lat","Alt","Type","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","popDens","PriRoad","SecRoad","NatMot","LocRoute"
"DESH033",15.93546396,10.116563,54.309674,29,"background",0.0949367088607595,0.819620253164557,0.0221518987341772,0.0348101265822785,0,0,0,0.0284810126582278,0,0,2075.90391908976,1997.666572605,478.113050198583,0,0
"DESH023",13.3995956,10.695936,53.835492,12,"background",0,0.40952380952381,0.196825396825397,0,0,0,0,0.149206349206349,0.244444444444444,0,1009.53736987069,1763.1193584739,0,0,0
"DEUB001",5.42741476,8.308208,54.924967,12,"background",0,0.278481012658228,0,0,0,0,0,0,0,0,234.699930216329,0,0,0,0
"DESH008",9.42188995,10.240596,54.09323,45,"background",0,0,0,0,0,0,0,0,0.509554140127389,0.251592356687898,61.7369073442826,0,0,0,0
"DEHH008",26.8782785,9.967882,53.56414,15,"background",0,0.663461538461538,0.211538461538462,0,0,0,0,0.125,0,0,2366.4874884152,1135.2237493152,0,0,538.836542651391
"DEHH021",15.16101439,10.083646,53.487669,2,"background",0,0.167741935483871,0,0,0,0,0,0.374193548387097,0.264516129032258,0,2366.4874884152,0,0,0,0
"DEHH033",21.39557108,9.998009,53.638291,13,"background",0,0.280757097791798,0,0,0,0.643533123028391,0,0.0757097791798107,0,0,2366.4874884152,2790.11177625696,0,0,492.256091743562
"DEHH047",16.76258079,10.110595,53.63074,31,"background",0,0.914556962025316,0,0,0,0,0,0.0854430379746835,0,0,2366.4874884152,0,0,0,0
"DEHH049",16.11579469,9.786234,53.568124,75,"background",0,0.296178343949045,0.101910828025478,0,0,0,0,0.423566878980892,0,0.133757961783439,2366.4874884152,0,0,0,0
"DEHH050",13.46795642,9.857223,53.480927,3,"background",0,0.40952380952381,0,0,0,0,0,0.0380952380952381,0.552380952380952,0,2366.4874884152,252.461549436068,0,0,0
"DEHH059",26.13682865,9.990569,53.50793,3,"background",0,0.40952380952381,0.438095238095238,0.00317460317460317,0,0,0,0.149206349206349,0,0,2366.4874884152,1490.62365393983,0,0,0
"DEHH074",31.12144221,10.102823,53.538531,18,"background",0,0.55205047318612,0.44794952681388,0,0,0,0,0,0,0,2366.4874884152,1980.36175262967,0,0,0
"DEHH079",31.12230262,9.944815,53.545269,25,"background",0,0.579617834394904,0,0.00318471337579618,0.105095541401274,0,0,0,0,0,2366.4874884152,0,0,0,0
"DENI011",15.29755041,10.47364,52.22694,98,"background",0,0.23961661341853,0,0,0,0,0,0,0.68370607028754,0.0766773162939297,1308.02934901389,0,0,0,0
"DENI020",20.1845588,10.81638,52.44081,66,"background",0,0.335463258785943,0,0,0,0,0,0.169329073482428,0.357827476038339,0.0543130990415335,607.825362602901,1972.67158692107,0,0,0
